Date,Title,Price,Link
Sun 17 Jun 12:04:03 PM,Nice room in a great 3bd/2bth apartment.,$1100,https://sfbay.craigslist.org/sfc/roo/d/nice-room-in-great-3bd-2bth/6619496458.html
Sun 17 Jun 12:00:21 PM,roommate wanted asap,$395,https://sfbay.craigslist.org/sfc/roo/d/roommate-wanted-asap/6619493751.html
Sun 17 Jun 11:51:01 AM,楼上独立卧房近州大,$1050,https://sfbay.craigslist.org/sfc/roo/6613303478.html
Sun 17 Jun 11:50:33 AM,"Nice Room in Inner Sunset,Near Transportation,All Male Housemates",$985,https://sfbay.craigslist.org/sfc/roo/d/nice-room-in-inner-sunsetnear/6619463906.html
Sun 17 Jun 11:48:01 AM,viewing on Sunday  at 6pm,$800,https://sfbay.craigslist.org/sfc/roo/d/viewing-on-sunday-at-6pm/6619473541.html
Sun 17 Jun 11:42:10 AM,Beautiful room for rent on top,$990,https://sfbay.craigslist.org/sfc/roo/d/beautiful-room-for-rent-on-top/6619480500.html
Sun 17 Jun 11:27:01 AM,Bedroom with shared bath near Balboa Park Bart station,$950,https://sfbay.craigslist.org/sfc/roo/d/bedroom-with-shared-bath-near/6617027332.html
Sun 17 Jun 11:20:32 AM,Nice remodeled room with a big window,$780,https://sfbay.craigslist.org/sfc/roo/d/nice-remodeled-room-with-big/6609603691.html
Sun 17 Jun 11:07:26 AM,"Spacious 2-story house, 2 dudes looking for housemate",$1000,https://sfbay.craigslist.org/sfc/roo/d/spacious-2-story-house-2/6619450166.html
Sun 17 Jun 10:39:12 AM,16th Ave/Vicente Bedroom,$950,https://sfbay.craigslist.org/sfc/roo/d/16th-ave-vicente-bedroom/6619433168.html
Sun 17 Jun 09:50:48 AM,"Furnished Master Bedroom Near UCSF & GG Park, Food, Transportation...",$1050,https://sfbay.craigslist.org/sfc/roo/d/furnished-master-bedroom-near/6597270779.html
Sun 17 Jun 09:44:11 AM,"lovely 3 bedroom, 2 bathroom hardwood Victorian in  awesome location.",$600,https://sfbay.craigslist.org/sfc/roo/d/lovely-3-bedroom-2-bathroom/6594388331.html
Sun 17 Jun 09:32:19 AM,Spacious Private Room-2 blocks to Muni/ SFSU/CCSF/Dtonetown Mall,$995,https://sfbay.craigslist.org/sfc/roo/d/spacious-private-room-2/6619382759.html
Sun 17 Jun 09:21:07 AM,楼上二睡房分租，连傢,$1080,https://sfbay.craigslist.org/sfc/roo/6619375616.html
Sun 17 Jun 09:14:35 AM,"Private Room Sunset area, Quiet, Safe and Clean",$985,https://sfbay.craigslist.org/sfc/roo/d/private-room-sunset-area/6619354526.html
Sun 17 Jun 07:31:41 AM,Master bedroom available to share - female only,$625,https://sfbay.craigslist.org/sfc/roo/d/master-bedroom-available-to/6606582181.html
Sun 17 Jun 07:24:39 AM,Master Bedroom Available Near ingleside,$550,https://sfbay.craigslist.org/sfc/roo/d/master-bedroom-available-near/6616602572.html
Sun 17 Jun 07:24:36 AM,Master Bedroom Available Near ingleside,$550,https://sfbay.craigslist.org/sfc/roo/d/master-bedroom-available-near/6616602722.html
Sun 17 Jun 02:55:09 AM,Welcome home :spacious and gracious top-floor one-brbeautiful condo,$650,https://sfbay.craigslist.org/sfc/roo/d/welcome-home-spacious-and/6619211288.html
Sun 17 Jun 02:45:51 AM,Large Bedroom in Beautiful 2B1B Apartment,$480,https://sfbay.craigslist.org/sfc/roo/d/large-bedroom-in-beautiful/6619211414.html
Sun 17 Jun 02:41:21 AM,"Large, sunny Master Bedroom, furnished, utilities, near UCSF & GG Park",$550,https://sfbay.craigslist.org/sfc/roo/d/large-sunny-master-bedroom/6619211224.html
Sun 17 Jun 12:16:06 AM,Studio room conveniently located close near 28/48/66/L line,$1100,https://sfbay.craigslist.org/sfc/roo/d/studio-room-conveniently/6614719166.html
Sun 17 Jun 12:00:47 AM,"PRIVATE BEDROOM AVAILABLE, WELCOMING ROOMMATES.",$1085,https://sfbay.craigslist.org/sfc/roo/d/private-bedroom-available/6609216529.html
Sun 17 Jun 12:00:43 AM,ONE BEDROOM AVAILABLE FOR RENT -- SHARED BATHROOM,$1085,https://sfbay.craigslist.org/sfc/roo/d/one-bedroom-available-for/6608556006.html
Sun 17 Jun 12:00:42 AM,"PRIVATE BEDROOM AVAILABLE, WELCOMING ROOMMATES.",$1085,https://sfbay.craigslist.org/sfc/roo/d/private-bedroom-available/6608554514.html
Sun 17 Jun 12:00:41 AM,ONE BEDROOM AVAILABLE FOR RENT -- SHARED BATHROOM,$1085,https://sfbay.craigslist.org/sfc/roo/d/one-bedroom-available-for/6609215565.html
Sun 17 Jun 12:00:41 AM,"PRIVATE ONE BEDROOM AVAILABLE NOW, WELCOMING ROOMMATE.",$1085,https://sfbay.craigslist.org/sfc/roo/d/private-one-bedroom-available/6615000062.html
Sun 17 Jun 12:00:37 AM,ONE BEDROOM AVAILABLE FOR RENT -- SHARED BATHROOM,$1085,https://sfbay.craigslist.org/sfc/roo/d/one-bedroom-available-for/6615001754.html
Sun 17 Jun 12:00:36 AM,1 private room available in 2 bedroom unit. Welcoming roommate. queit!,$1085,https://sfbay.craigslist.org/sfc/roo/d/1-private-room-available-in-2/6615005829.html
Sun 17 Jun 12:00:36 AM,ONE PRIVATE BEDROOM AVAILABLE IMMEDIATELY - CLEAN MODERN QUIET,$1085,https://sfbay.craigslist.org/sfc/roo/d/one-private-bedroom-available/6615328722.html
Sat 16 Jun 11:48:59 PM,Awesome room near CCSF ($980/month),$980,https://sfbay.craigslist.org/sfc/roo/d/awesome-room-near-ccsf-980/6619204607.html
Sat 16 Jun 11:42:44 PM,"Private Room Sunset area, Quiet, Safe and Clean",$985,https://sfbay.craigslist.org/sfc/roo/d/private-room-sunset-area/6619202399.html
Sat 16 Jun 11:09:43 PM,旧金山市一个小房带卫,$960,https://sfbay.craigslist.org/sfc/roo/6619199475.html
Sat 16 Jun 11:02:17 PM,"1 small room with bathroom near ccsf, bart station",$960,https://sfbay.craigslist.org/sfc/roo/d/1-small-room-with-bathroom/6619198310.html
Sat 16 Jun 10:55:16 PM,"Great Room, Nice Location, Convenient to Transportation & Shops & SFSU",$985,https://sfbay.craigslist.org/sfc/roo/d/great-room-nice-location/6619186486.html
Sat 16 Jun 10:54:54 PM,Commuter Room SF Available Weekdays Only!,$750,https://sfbay.craigslist.org/sfc/roo/d/commuter-room-sf-available/6609334486.html
Sat 16 Jun 09:21:15 PM,showing room  on Sunday at 10am,$800,https://sfbay.craigslist.org/sfc/roo/d/showing-room-on-sunday-at-10am/6619175565.html
Sat 16 Jun 09:02:42 PM,Private Room w/ Balcony and Views of Monterey Blvd. 4 Blocks to BART.,$810,https://sfbay.craigslist.org/sfc/roo/d/private-room-balcony-and/6615395313.html
Sat 16 Jun 08:55:00 PM,Roommate Ad -,$800,https://sfbay.craigslist.org/sfc/roo/d/roommate-ad/6619171490.html
Sat 16 Jun 08:36:35 PM,Room for rent near Balboa Bart-Female only**OPEN HOUSE 6/16**,$900,https://sfbay.craigslist.org/sfc/roo/d/room-for-rent-near-balboa/6612760456.html
